test_set,model,clip_id,episode_id,scene_id,frames,unmasked_frames,missing_frames,mask_ratio,shifted_distance,npss,full_l1,missing_l1
held_out_algorithmic,release,38,ep0041,scn0043,151,21,130,0.8609271523178808,0.35389459553886865,0.875188785731504,0.009506996721029282,0.011042742989957333
held_out_algorithmic,original,39,ep0042,scn0018,147,8,139,0.9455782312925171,0.441996484410529,0.3136586512563227,0.005425707902759314,0.005737978499382734
held_out_algorithmic,prior_10k,39,ep0042,scn0018,147,8,139,0.9455782312925171,0.46385858573165595,0.3947051416493794,0.00578475184738636,0.006117687560617924
held_out_algorithmic,release,39,ep0042,scn0018,147,8,139,0.9455782312925171,0.46386081486745595,0.3958972057310708,0.005784931592643261,0.006117876619100571
held_out_algorithmic,original,40,ep0043,scn0058,36,3,33,0.9166666666666666,0.0237517904590916,0.0007851037276367988,9.263228275813162e-05,0.00010105339606525376
held_out_algorithmic,prior_10k,40,ep0043,scn0058,36,3,33,0.9166666666666666,0.02372803391158782,0.0001874056889453391,8.760865603107959e-05,9.557307930663228e-05
held_out_algorithmic,release,40,ep0043,scn0058,36,3,33,0.9166666666666666,0.023728185610191244,0.0002775990107695052,8.756487659411505e-05,9.552531264489517e-05
held_out_algorithmic,original,41,ep0045,scn0066,140,9,131,0.9357142857142857,0.15248031620265676,0.11122995252124754,0.003468637354671955,0.0037069409154355526
held_out_algorithmic,prior_10k,41,ep0045,scn0066,140,9,131,0.9357142857142857,0.07440953595297677,0.0780614526204981,0.002195158274844289,0.0023459703661501408
held_out_algorithmic,release,41,ep0045,scn0066,140,9,131,0.9357142857142857,0.07440981583124927,0.07806138366697214,0.0021951431408524513,0.0023459543008357286
held_out_algorithmic,original,42,ep0046,scn0016,103,7,96,0.9320388349514563,0.9237029199247007,1.3142644561266688,0.02004525624215603,0.021506886929273605
held_out_algorithmic,prior_10k,42,ep0046,scn0016,103,7,96,0.9320388349514563,0.4391755478249656,0.19305611273525441,0.005596615839749575,0.006004702765494585
held_out_algorithmic,release,42,ep0046,scn0016,103,7,96,0.9320388349514563,0.4391731901301278,0.19305972646727462,0.005596623755991459,0.006004711147397757
held_out_algorithmic,original,43,ep0046,scn0024,280,8,272,0.9714285714285714,0.42446500709006835,1.8332156553845365,0.013617601245641708,0.014018121175467968
held_out_algorithmic,prior_10k,43,ep0046,scn0024,280,8,272,0.9714285714285714,0.04208407702145876,0.4882686414236584,0.004550989251583815,0.004684841725975275
held_out_algorithmic,release,43,ep0046,scn0024,280,8,272,0.9714285714285714,0.042083124441283565,0.4882903253468002,0.00455116480588913,0.004685022868216038
held_out_algorithmic,original,44,ep0047,scn0036,138,19,119,0.8623188405797102,0.23671533991732904,0.8741775334923515,0.01692388579249382,0.019626019522547722
held_out_algorithmic,prior_10k,44,ep0047,scn0036,138,19,119,0.8623188405797102,0.2742645867649586,2.1132927972593905,0.03377969563007355,0.03917308896780014
held_out_algorithmic,release,44,ep0047,scn0036,138,19,119,0.8623188405797102,0.27426498686113665,2.113296195827779,0.033779725432395935,0.03917312994599342
held_out_algorithmic,original,45,ep0047,scn0039,115,7,108,0.9391304347826087,0.766391535103321,3.44702499716108,0.059237804263830185,0.06307728588581085
held_out_algorithmic,prior_10k,45,ep0047,scn0039,115,7,108,0.9391304347826087,0.1696225029726823,0.9109235886842826,0.012115305289626122,0.012900556437671185
held_out_algorithmic,release,45,ep0047,scn0039,115,7,108,0.9391304347826087,0.16962870632608731,0.914046653126164,0.012115581892430782,0.012900850735604763
held_out_algorithmic,original,46,ep0048,scn0018,529,49,480,0.9073724007561437,0.8247677266287307,10.219454402314355,0.039229534566402435,0.0432342104613781
held_out_algorithmic,prior_10k,46,ep0048,scn0018,529,49,480,0.9073724007561437,0.09177083322881824,0.5212954773659697,0.004632376134395599,0.005105264950543642
held_out_algorithmic,release,46,ep0048,scn0018,529,49,480,0.9073724007561437,0.09177014464189091,0.5227663271136807,0.004632408730685711,0.005105300806462765
held_out_algorithmic,original,47,ep0050,scn0033,1183,114,1069,0.9036348267117498,1.3291389146596768,26.256031344132243,0.06241996958851814,0.0690765529870987
held_out_algorithmic,prior_10k,47,ep0050,scn0033,1183,114,1069,0.9036348267117498,0.861590615783649,36.295952256545945,0.03544163331389427,0.03922118619084358
held_out_algorithmic,release,47,ep0050,scn0033,1183,114,1069,0.9036348267117498,0.8615884845220559,36.468195036494556,0.03544146567583084,0.03922100365161896
held_out_algorithmic,original,48,ep0051,scn0036,533,37,496,0.9305816135084428,0.9781953364308976,14.271598702161288,0.05542464181780815,0.05955914035439491
held_out_algorithmic,prior_10k,48,ep0051,scn0036,533,37,496,0.9305816135084428,0.19367036626110196,1.8031077895123608,0.009001788683235645,0.009673292748630047
held_out_algorithmic,release,48,ep0051,scn0036,533,37,496,0.9305816135084428,0.19365673467621836,1.802349904569495,0.009001965634524822,0.009673483669757843
held_out_algorithmic,original,49,ep0openingv2,scn0003b,185,10,175,0.9459459459459459,1.6977500964940522,7.862943273870239,0.04591691121459007,0.04854073375463486
held_out_algorithmic,prior_10k,49,ep0openingv2,scn0003b,185,10,175,0.9459459459459459,0.3196192789880723,0.5977156082804128,0.007752395700663328,0.008195389993488789
held_out_algorithmic,release,49,ep0openingv2,scn0003b,185,10,175,0.9459459459459459,0.31962013105654347,0.6010900002203983,0.00775267044082284,0.008195680566132069
held_out_algorithmic,original,50,ep0pa021,scn0011b,170,17,153,0.9,0.7674166970961803,3.2945858976645135,0.05632027983665466,0.06257808953523636
held_out_algorithmic,prior_10k,50,ep0pa021,scn0011b,170,17,153,0.9,0.48024833693697644,1.5238325800873433,0.021045615896582603,0.02338401786983013
held_out_algorithmic,release,50,ep0pa021,scn0011b,170,17,153,0.9,0.4802530246811944,1.204181634973978,0.021045682951807976,0.0233840923756361
held_out_algorithmic,original,51,ep0pa022c,scn0008,98,40,58,0.5918367346938775,0.6317893880255082,0.6926150012358778,0.01370169222354889,0.023151136934757233
held_out_algorithmic,prior_10k,51,ep0pa022c,scn0008,98,40,58,0.5918367346938775,0.42205019558177276,0.28376644490741465,0.011119293048977852,0.018787771463394165
held_out_algorithmic,release,51,ep0pa022c,scn0008,98,40,58,0.5918367346938775,0.4220418877461377,0.2837637035301081,0.011119304224848747,0.018787788227200508
held_out_algorithmic,original,52,ep0pa022e,scn0012,164,32,132,0.8048780487804879,1.0696221414915066,3.8027239068558982,0.03268773481249809,0.040612030774354935
held_out_algorithmic,prior_10k,52,ep0pa022e,scn0012,164,32,132,0.8048780487804879,0.2598990082126303,0.6957312513042863,0.012131773866713047,0.015072811394929886
held_out_algorithmic,release,52,ep0pa022e,scn0012,164,32,132,0.8048780487804879,0.25989964112793046,0.7039693335423988,0.012131810188293457,0.015072855167090893
held_out_algorithmic,original,53,ep0pa022ev2,scn0012,89,6,83,0.9325842696629213,0.21854039782317736,0.015174435323247961,0.002407087478786707,0.0025810939259827137
held_out_algorithmic,prior_10k,53,ep0pa022ev2,scn0012,89,6,83,0.9325842696629213,0.2592956366077546,0.012478770543697554,0.001284575555473566,0.0013774363324046135
held_out_algorithmic,release,53,ep0pa022ev2,scn0012,89,6,83,0.9325842696629213,0.2592972371206489,0.01247873423729105,0.0012846804456785321,0.0013775487896054983
held_out_algorithmic,original,54,ep0pa022k,scn0020,40,7,33,0.825,0.1867978268199497,0.03615285251012711,0.004432316869497299,0.005372505635023117
held_out_algorithmic,prior_10k,54,ep0pa022k,scn0020,40,7,33,0.825,0.09090958469443851,0.047858891183311776,0.004943837411701679,0.005992530379444361
held_out_algorithmic,release,54,ep0pa022k,scn0020,40,7,33,0.825,0.09090611735979716,0.04785867344912409,0.004943996202200651,0.0059927222318947315
